Time,House,School,Health_center,Mosque,Water_pump
20130305:0407,0.199,0.15,0.15,0.85,0.43
20130305:0507,0.305,0.15,0.15,0.85,0.57
20130305:0607,0.335,0.46,0.46,0.5,0.71
20130305:0707,0.305,0.92,0.92,0.1,0.86
20130305:0807,0.256,0.92,0.92,0.1,1
20130305:0907,0.262,1,1,0.1,1
20130305:1007,0.302,1,1,0.1,1
20130305:1107,0.325,1,1,1,0.86
20130305:1207,0.421,1,1,1,0.71
20130305:1307,0.316,1,1,1,0.71
20130305:1407,0.255,1,1,0.5,0.86
20130305:1507,0.242,1,1,1,0.86
20130305:1607,0.249,0.85,0.85,1,1
20130305:1707,0.401,0.31,0.31,0.5,1
20130305:1807,0.75,0.15,0.15,1,0.71
20130305:1907,0.611,0.15,0.15,1,0.57
20130305:2007,0.412,0.15,0.15,0.1,0.29
20130305:2107,0.292,0.15,0.15,0.1,0.14
20130305:2207,0.183,0.15,0.15,0.1,0.14
20130305:2307,0.125,0.15,0.15,0.1,0.14
20130306:0007,0.066,0.15,0.15,0.1,0.14
20130306:0107,0.058,0.15,0.15,0.1,0.14
20130306:0207,0.058,0.15,0.15,0.1,0.14
20130306:0307,0.058,0.15,0.15,0.1,0.29
20130306:0407,0.199,0.15,0.15,0.85,0.43
20130306:0507,0.305,0.15,0.15,0.85,0.57
20130306:0607,0.335,0.46,0.46,0.5,0.71
20130306:0707,0.305,0.92,0.92,0.1,0.86
20130306:0807,0.256,0.92,0.92,0.1,1
20130306:0907,0.262,1,1,0.1,1
20130306:1007,0.302,1,1,0.1,1
20130306:1107,0.325,1,1,1,0.86
20130306:1207,0.421,1,1,1,0.71
20130306:1307,0.316,1,1,1,0.71
20130306:1407,0.255,1,1,0.5,0.86
20130306:1507,0.242,1,1,1,0.86
20130306:1607,0.249,0.85,0.85,1,1
20130306:1707,0.401,0.31,0.31,0.5,1
20130306:1807,0.75,0.15,0.15,1,0.71
20130306:1907,0.611,0.15,0.15,1,0.57
20130306:2007,0.412,0.15,0.15,0.1,0.29
20130306:2107,0.292,0.15,0.15,0.1,0.14
20130306:2207,0.183,0.15,0.15,0.1,0.14
20130306:2307,0.125,0.15,0.15,0.1,0.14
20130307:0007,0.066,0.15,0.15,0.1,0.14
20130307:0107,0.058,0.15,0.15,0.1,0.14
20130307:0207,0.058,0.15,0.15,0.1,0.14
20130307:0307,0.058,0.15,0.15,0.1,0.29
20130307:0407,0.199,0.15,0.15,0.85,0.43
20130307:0507,0.305,0.15,0.15,0.85,0.57
20130307:0607,0.335,0.46,0.46,0.5,0.71
20130307:0707,0.305,0.92,0.92,0.1,0.86
20130307:0807,0.256,0.92,0.92,0.1,1
20130307:0907,0.262,1,1,0.1,1
20130307:1007,0.302,1,1,0.1,1
20130307:1107,0.325,1,1,1,0.86
20130307:1207,0.421,1,1,1,0.71
20130307:1307,0.316,1,1,1,0.71
20130307:1407,0.255,1,1,0.5,0.86
20130307:1507,0.242,1,1,1,0.86
20130307:1607,0.249,0.85,0.85,1,1
20130307:1707,0.401,0.31,0.31,0.5,1
20130307:1807,0.75,0.15,0.15,1,0.71
20130307:1907,0.611,0.15,0.15,1,0.57
20130307:2007,0.412,0.15,0.15,0.1,0.29
20130307:2107,0.292,0.15,0.15,0.1,0.14
20130307:2207,0.183,0.15,0.15,0.1,0.14
20130307:2307,0.125,0.15,0.15,0.1,0.14
20130308:0007,0.066,0.15,0.15,0.1,0.14
20130308:0107,0.058,0.15,0.15,0.1,0.14
20130308:0207,0.058,0.15,0.15,0.1,0.14
20130308:0307,0.058,0.15,0.15,0.1,0.29
20130308:0407,0.199,0.15,0.15,0.85,0.43
20130308:0507,0.305,0.15,0.15,0.85,0.57
20130308:0607,0.335,0.46,0.46,0.5,0.71
20130308:0707,0.305,0.92,0.92,0.1,0.86
20130308:0807,0.256,0.92,0.92,0.1,1
20130308:0907,0.262,1,1,0.1,1
20130308:1007,0.302,1,1,0.1,1
20130308:1107,0.325,1,1,1,0.86
20130308:1207,0.421,1,1,1,0.71
20130308:1307,0.316,1,1,1,0.71
20130308:1407,0.255,1,1,0.5,0.86
20130308:1507,0.242,1,1,1,0.86
20130308:1607,0.249,0.85,0.85,1,1
20130308:1707,0.401,0.31,0.31,0.5,1
20130308:1807,0.75,0.15,0.15,1,0.71
20130308:1907,0.611,0.15,0.15,1,0.57
20130308:2007,0.412,0.15,0.15,0.1,0.29
20130308:2107,0.292,0.15,0.15,0.1,0.14
20130308:2207,0.183,0.15,0.15,0.1,0.14
20130308:2307,0.125,0.15,0.15,0.1,0.14
20130309:0007,0.066,0.15,0.15,0.1,0.14
20130309:0107,0.058,0.15,0.15,0.1,0.14
20130309:0207,0.058,0.15,0.15,0.1,0.14
20130309:0307,0.058,0.15,0.15,0.1,0.29
20130309:0407,0.199,0.15,0.15,0.85,0.43
20130309:0507,0.305,0.15,0.15,0.85,0.57
20130309:0607,0.335,0.46,0.46,0.5,0.71
20130309:0707,0.305,0.92,0.92,0.1,0.86
20130309:0807,0.256,0.92,0.92,0.1,1
20130309:0907,0.262,1,1,0.1,1
20130309:1007,0.302,1,1,0.1,1
20130309:1107,0.325,1,1,1,0.86
20130309:1207,0.421,1,1,1,0.71
20130309:1307,0.316,1,1,1,0.71
20130309:1407,0.255,1,1,0.5,0.86
20130309:1507,0.242,1,1,1,0.86
20130309:1607,0.249,0.85,0.85,1,1
20130309:1707,0.401,0.31,0.31,0.5,1
20130309:1807,0.75,0.15,0.15,1,0.71
20130309:1907,0.611,0.15,0.15,1,0.57
20130309:2007,0.412,0.15,0.15,0.1,0.29
20130309:2107,0.292,0.15,0.15,0.1,0.14
20130309:2207,0.183,0.15,0.15,0.1,0.14
20130309:2307,0.125,0.15,0.15,0.1,0.14
20130310:0007,0.066,0.15,0.15,0.1,0.14
20130310:0107,0.058,0.15,0.15,0.1,0.14
20130310:0207,0.058,0.15,0.15,0.1,0.14
20130310:0307,0.058,0.15,0.15,0.1,0.29
20130310:0407,0.199,0.15,0.15,0.85,0.43
20130310:0507,0.305,0.15,0.15,0.85,0.57
20130310:0607,0.335,0.46,0.46,0.5,0.71
20130310:0707,0.305,0.92,0.92,0.1,0.86
20130310:0807,0.256,0.92,0.92,0.1,1
20130310:0907,0.262,1,1,0.1,1
20130310:1007,0.302,1,1,0.1,1
20130310:1107,0.325,1,1,1,0.86
20130310:1207,0.421,1,1,1,0.71
20130310:1307,0.316,1,1,1,0.71
20130310:1407,0.255,1,1,0.5,0.86
20130310:1507,0.242,1,1,1,0.86
20130310:1607,0.249,0.85,0.85,1,1
20130310:1707,0.401,0.31,0.31,0.5,1
20130310:1807,0.75,0.15,0.15,1,0.71
20130310:1907,0.611,0.15,0.15,1,0.57
20130310:2007,0.412,0.15,0.15,0.1,0.29
20130310:2107,0.292,0.15,0.15,0.1,0.14
20130310:2207,0.183,0.15,0.15,0.1,0.14
20130310:2307,0.125,0.15,0.15,0.1,0.14
20130311:0007,0.066,0.15,0.15,0.1,0.14
20130311:0107,0.058,0.15,0.15,0.1,0.14
20130311:0207,0.058,0.15,0.15,0.1,0.14
20130311:0307,0.058,0.15,0.15,0.1,0.29
20130311:0407,0.199,0.15,0.15,0.85,0.43
20130311:0507,0.305,0.15,0.15,0.85,0.57
20130311:0607,0.335,0.46,0.46,0.5,0.71
20130311:0707,0.305,0.92,0.92,0.1,0.86
20130311:0807,0.256,0.92,0.92,0.1,1
20130311:0907,0.262,1,1,0.1,1
20130311:1007,0.302,1,1,0.1,1
20130311:1107,0.325,1,1,1,0.86
20130311:1207,0.421,1,1,1,0.71
20130311:1307,0.316,1,1,1,0.71
20130311:1407,0.255,1,1,0.5,0.86
20130311:1507,0.242,1,1,1,0.86
20130311:1607,0.249,0.85,0.85,1,1
20130311:1707,0.401,0.31,0.31,0.5,1
20130311:1807,0.75,0.15,0.15,1,0.71
20130311:1907,0.611,0.15,0.15,1,0.57
20130311:2007,0.412,0.15,0.15,0.1,0.29
20130311:2107,0.292,0.15,0.15,0.1,0.14
20130311:2207,0.183,0.15,0.15,0.1,0.14
20130311:2307,0.125,0.15,0.15,0.1,0.14
20130312:0007,0.066,0.15,0.15,0.1,0.14
20130312:0107,0.058,0.15,0.15,0.1,0.14
20130312:0207,0.058,0.15,0.15,0.1,0.14
20130312:0307,0.058,0.15,0.15,0.1,0.29
20130312:0407,0.199,0.15,0.15,0.85,0.43
20130312:0507,0.305,0.15,0.15,0.85,0.57
20130312:0607,0.335,0.46,0.46,0.5,0.71
20130312:0707,0.305,0.92,0.92,0.1,0.86
20130312:0807,0.256,0.92,0.92,0.1,1
20130312:0907,0.262,1,1,0.1,1
20130312:1007,0.302,1,1,0.1,1
20130312:1107,0.325,1,1,1,0.86
20130312:1207,0.421,1,1,1,0.71
20130312:1307,0.316,1,1,1,0.71
20130312:1407,0.255,1,1,0.5,0.86
20130312:1507,0.242,1,1,1,0.86
20130312:1607,0.249,0.85,0.85,1,1
20130312:1707,0.401,0.31,0.31,0.5,1
20130312:1807,0.75,0.15,0.15,1,0.71
20130312:1907,0.611,0.15,0.15,1,0.57
20130312:2007,0.412,0.15,0.15,0.1,0.29
20130312:2107,0.292,0.15,0.15,0.1,0.14
20130312:2207,0.183,0.15,0.15,0.1,0.14
20130312:2307,0.125,0.15,0.15,0.1,0.14
20130313:0007,0.066,0.15,0.15,0.1,0.14
20130313:0107,0.058,0.15,0.15,0.1,0.14
20130313:0207,0.058,0.15,0.15,0.1,0.14
20130313:0307,0.058,0.15,0.15,0.1,0.29
20130313:0407,0.199,0.15,0.15,0.85,0.43
20130313:0507,0.305,0.15,0.15,0.85,0.57
20130313:0607,0.335,0.46,0.46,0.5,0.71
20130313:0707,0.305,0.92,0.92,0.1,0.86
20130313:0807,0.256,0.92,0.92,0.1,1
20130313:0907,0.262,1,1,0.1,1
20130313:1007,0.302,1,1,0.1,1
20130313:1107,0.325,1,1,1,0.86
20130313:1207,0.421,1,1,1,0.71
20130313:1307,0.316,1,1,1,0.71
20130313:1407,0.255,1,1,0.5,0.86
20130313:1507,0.242,1,1,1,0.86
20130313:1607,0.249,0.85,0.85,1,1
20130313:1707,0.401,0.31,0.31,0.5,1
20130313:1807,0.75,0.15,0.15,1,0.71
20130313:1907,0.611,0.15,0.15,1,0.57
20130313:2007,0.412,0.15,0.15,0.1,0.29
20130313:2107,0.292,0.15,0.15,0.1,0.14
20130313:2207,0.183,0.15,0.15,0.1,0.14
20130313:2307,0.125,0.15,0.15,0.1,0.14
20130314:0007,0.066,0.15,0.15,0.1,0.14
20130314:0107,0.058,0.15,0.15,0.1,0.14
20130314:0207,0.058,0.15,0.15,0.1,0.14
20130314:0307,0.058,0.15,0.15,0.1,0.29
20130314:0407,0.199,0.15,0.15,0.85,0.43
20130314:0507,0.305,0.15,0.15,0.85,0.57
20130314:0607,0.335,0.46,0.46,0.5,0.71
20130314:0707,0.305,0.92,0.92,0.1,0.86
20130314:0807,0.256,0.92,0.92,0.1,1
20130314:0907,0.262,1,1,0.1,1
20130314:1007,0.302,1,1,0.1,1
20130314:1107,0.325,1,1,1,0.86
20130314:1207,0.421,1,1,1,0.71
20130314:1307,0.316,1,1,1,0.71
20130314:1407,0.255,1,1,0.5,0.86
20130314:1507,0.242,1,1,1,0.86
20130314:1607,0.249,0.85,0.85,1,1
20130314:1707,0.401,0.31,0.31,0.5,1
20130314:1807,0.75,0.15,0.15,1,0.71
20130314:1907,0.611,0.15,0.15,1,0.57
20130314:2007,0.412,0.15,0.15,0.1,0.29
20130314:2107,0.292,0.15,0.15,0.1,0.14
20130314:2207,0.183,0.15,0.15,0.1,0.14
20130314:2307,0.125,0.15,0.15,0.1,0.14
20130315:0007,0.066,0.15,0.15,0.1,0.14
20130315:0107,0.058,0.15,0.15,0.1,0.14
20130315:0207,0.058,0.15,0.15,0.1,0.14
20130315:0307,0.058,0.15,0.15,0.1,0.29
20130315:0407,0.199,0.15,0.15,0.85,0.43
20130315:0507,0.305,0.15,0.15,0.85,0.57
20130315:0607,0.335,0.46,0.46,0.5,0.71
20130315:0707,0.305,0.92,0.92,0.1,0.86
20130315:0807,0.256,0.92,0.92,0.1,1
20130315:0907,0.262,1,1,0.1,1
20130315:1007,0.302,1,1,0.1,1
20130315:1107,0.325,1,1,1,0.86
20130315:1207,0.421,1,1,1,0.71
20130315:1307,0.316,1,1,1,0.71
20130315:1407,0.255,1,1,0.5,0.86
20130315:1507,0.242,1,1,1,0.86
20130315:1607,0.249,0.85,0.85,1,1
20130315:1707,0.401,0.31,0.31,0.5,1
20130315:1807,0.75,0.15,0.15,1,0.71
20130315:1907,0.611,0.15,0.15,1,0.57
20130315:2007,0.412,0.15,0.15,0.1,0.29
20130315:2107,0.292,0.15,0.15,0.1,0.14
20130315:2207,0.183,0.15,0.15,0.1,0.14
20130315:2307,0.125,0.15,0.15,0.1,0.14
20130316:0007,0.066,0.15,0.15,0.1,0.14
20130316:0107,0.058,0.15,0.15,0.1,0.14
20130316:0207,0.058,0.15,0.15,0.1,0.14
20130316:0307,0.058,0.15,0.15,0.1,0.29
20130316:0407,0.199,0.15,0.15,0.85,0.43
20130316:0507,0.305,0.15,0.15,0.85,0.57
20130316:0607,0.335,0.46,0.46,0.5,0.71
20130316:0707,0.305,0.92,0.92,0.1,0.86
20130316:0807,0.256,0.92,0.92,0.1,1
20130316:0907,0.262,1,1,0.1,1
20130316:1007,0.302,1,1,0.1,1
20130316:1107,0.325,1,1,1,0.86
20130316:1207,0.421,1,1,1,0.71
20130316:1307,0.316,1,1,1,0.71
20130316:1407,0.255,1,1,0.5,0.86
20130316:1507,0.242,1,1,1,0.86
20130316:1607,0.249,0.85,0.85,1,1
20130316:1707,0.401,0.31,0.31,0.5,1
20130316:1807,0.75,0.15,0.15,1,0.71
20130316:1907,0.611,0.15,0.15,1,0.57
20130316:2007,0.412,0.15,0.15,0.1,0.29
20130316:2107,0.292,0.15,0.15,0.1,0.14
20130316:2207,0.183,0.15,0.15,0.1,0.14
20130316:2307,0.125,0.15,0.15,0.1,0.14
20130317:0007,0.066,0.15,0.15,0.1,0.14
20130317:0107,0.058,0.15,0.15,0.1,0.14
20130317:0207,0.058,0.15,0.15,0.1,0.14
20130317:0307,0.058,0.15,0.15,0.1,0.29
20130317:0407,0.199,0.15,0.15,0.85,0.43
20130317:0507,0.305,0.15,0.15,0.85,0.57
20130317:0607,0.335,0.46,0.46,0.5,0.71
20130317:0707,0.305,0.92,0.92,0.1,0.86
20130317:0807,0.256,0.92,0.92,0.1,1
20130317:0907,0.262,1,1,0.1,1
20130317:1007,0.302,1,1,0.1,1
20130317:1107,0.325,1,1,1,0.86
20130317:1207,0.421,1,1,1,0.71
20130317:1307,0.316,1,1,1,0.71
20130317:1407,0.255,1,1,0.5,0.86
20130317:1507,0.242,1,1,1,0.86
20130317:1607,0.249,0.85,0.85,1,1
20130317:1707,0.401,0.31,0.31,0.5,1
20130317:1807,0.75,0.15,0.15,1,0.71
20130317:1907,0.611,0.15,0.15,1,0.57
20130317:2007,0.412,0.15,0.15,0.1,0.29
20130317:2107,0.292,0.15,0.15,0.1,0.14
20130317:2207,0.183,0.15,0.15,0.1,0.14
20130317:2307,0.125,0.15,0.15,0.1,0.14
20130318:0007,0.066,0.15,0.15,0.1,0.14
20130318:0107,0.058,0.15,0.15,0.1,0.14
20130318:0207,0.058,0.15,0.15,0.1,0.14
20130318:0307,0.058,0.15,0.15,0.1,0.29
20130318:0407,0.199,0.15,0.15,0.85,0.43
20130318:0507,0.305,0.15,0.15,0.85,0.57
20130318:0607,0.335,0.46,0.46,0.5,0.71
20130318:0707,0.305,0.92,0.92,0.1,0.86
20130318:0807,0.256,0.92,0.92,0.1,1
20130318:0907,0.262,1,1,0.1,1
20130318:1007,0.302,1,1,0.1,1
20130318:1107,0.325,1,1,1,0.86
20130318:1207,0.421,1,1,1,0.71
20130318:1307,0.316,1,1,1,0.71
20130318:1407,0.255,1,1,0.5,0.86
20130318:1507,0.242,1,1,1,0.86
20130318:1607,0.249,0.85,0.85,1,1
20130318:1707,0.401,0.31,0.31,0.5,1
20130318:1807,0.75,0.15,0.15,1,0.71
20130318:1907,0.611,0.15,0.15,1,0.57
20130318:2007,0.412,0.15,0.15,0.1,0.29
20130318:2107,0.292,0.15,0.15,0.1,0.14
20130318:2207,0.183,0.15,0.15,0.1,0.14
20130318:2307,0.125,0.15,0.15,0.1,0.14
20130319:0007,0.066,0.15,0.15,0.1,0.14
20130319:0107,0.058,0.15,0.15,0.1,0.14
20130319:0207,0.058,0.15,0.15,0.1,0.14
20130319:0307,0.058,0.15,0.15,0.1,0.29
20130319:0407,0.199,0.15,0.15,0.85,0.43
20130319:0507,0.305,0.15,0.15,0.85,0.57
20130319:0607,0.335,0.46,0.46,0.5,0.71
20130319:0707,0.305,0.92,0.92,0.1,0.86
20130319:0807,0.256,0.92,0.92,0.1,1
20130319:0907,0.262,1,1,0.1,1
20130319:1007,0.302,1,1,0.1,1
20130319:1107,0.325,1,1,1,0.86
20130319:1207,0.421,1,1,1,0.71
20130319:1307,0.316,1,1,1,0.71
20130319:1407,0.255,1,1,0.5,0.86
20130319:1507,0.242,1,1,1,0.86
20130319:1607,0.249,0.85,0.85,1,1
20130319:1707,0.401,0.31,0.31,0.5,1
20130319:1807,0.75,0.15,0.15,1,0.71
20130319:1907,0.611,0.15,0.15,1,0.57
20130319:2007,0.412,0.15,0.15,0.1,0.29
20130319:2107,0.292,0.15,0.15,0.1,0.14
20130319:2207,0.183,0.15,0.15,0.1,0.14
20130319:2307,0.125,0.15,0.15,0.1,0.14
20130320:0007,0.066,0.15,0.15,0.1,0.14
20130320:0107,0.058,0.15,0.15,0.1,0.14
20130320:0207,0.058,0.15,0.15,0.1,0.14
20130320:0307,0.058,0.15,0.15,0.1,0.29
20130320:0407,0.199,0.15,0.15,0.85,0.43
20130320:0507,0.305,0.15,0.15,0.85,0.57
20130320:0607,0.335,0.46,0.46,0.5,0.71
20130320:0707,0.305,0.92,0.92,0.1,0.86
20130320:0807,0.256,0.92,0.92,0.1,1
20130320:0907,0.262,1,1,0.1,1
20130320:1007,0.302,1,1,0.1,1
20130320:1107,0.325,1,1,1,0.86
20130320:1207,0.421,1,1,1,0.71
20130320:1307,0.316,1,1,1,0.71
20130320:1407,0.255,1,1,0.5,0.86
20130320:1507,0.242,1,1,1,0.86
20130320:1607,0.249,0.85,0.85,1,1
20130320:1707,0.401,0.31,0.31,0.5,1
20130320:1807,0.75,0.15,0.15,1,0.71
20130320:1907,0.611,0.15,0.15,1,0.57
20130320:2007,0.412,0.15,0.15,0.1,0.29
20130320:2107,0.292,0.15,0.15,0.1,0.14
20130320:2207,0.183,0.15,0.15,0.1,0.14
20130320:2307,0.125,0.15,0.15,0.1,0.14
20130321:0007,0.066,0.15,0.15,0.1,0.14
20130321:0107,0.058,0.15,0.15,0.1,0.14
20130321:0207,0.058,0.15,0.15,0.1,0.14
20130321:0307,0.058,0.15,0.15,0.1,0.29
20130321:0407,0.199,0.15,0.15,0.85,0.43
20130321:0507,0.305,0.15,0.15,0.85,0.57
20130321:0607,0.335,0.46,0.46,0.5,0.71
20130321:0707,0.305,0.92,0.92,0.1,0.86
20130321:0807,0.256,0.92,0.92,0.1,1
20130321:0907,0.262,1,1,0.1,1
20130321:1007,0.302,1,1,0.1,1
20130321:1107,0.325,1,1,1,0.86
20130321:1207,0.421,1,1,1,0.71
20130321:1307,0.316,1,1,1,0.71
20130321:1407,0.255,1,1,0.5,0.86
20130321:1507,0.242,1,1,1,0.86
20130321:1607,0.249,0.85,0.85,1,1
20130321:1707,0.401,0.31,0.31,0.5,1
20130321:1807,0.75,0.15,0.15,1,0.71
20130321:1907,0.611,0.15,0.15,1,0.57
20130321:2007,0.412,0.15,0.15,0.1,0.29
20130321:2107,0.292,0.15,0.15,0.1,0.14
20130321:2207,0.183,0.15,0.15,0.1,0.14
20130321:2307,0.125,0.15,0.15,0.1,0.14
20130322:0007,0.066,0.15,0.15,0.1,0.14
20130322:0107,0.058,0.15,0.15,0.1,0.14
20130322:0207,0.058,0.15,0.15,0.1,0.14
20130322:0307,0.058,0.15,0.15,0.1,0.29
20130322:0407,0.199,0.15,0.15,0.85,0.43
20130322:0507,0.305,0.15,0.15,0.85,0.57
20130322:0607,0.335,0.46,0.46,0.5,0.71
20130322:0707,0.305,0.92,0.92,0.1,0.86
20130322:0807,0.256,0.92,0.92,0.1,1
20130322:0907,0.262,1,1,0.1,1
20130322:1007,0.302,1,1,0.1,1
20130322:1107,0.325,1,1,1,0.86
20130322:1207,0.421,1,1,1,0.71
20130322:1307,0.316,1,1,1,0.71
20130322:1407,0.255,1,1,0.5,0.86
20130322:1507,0.242,1,1,1,0.86
20130322:1607,0.249,0.85,0.85,1,1
20130322:1707,0.401,0.31,0.31,0.5,1
20130322:1807,0.75,0.15,0.15,1,0.71
20130322:1907,0.611,0.15,0.15,1,0.57
20130322:2007,0.412,0.15,0.15,0.1,0.29
20130322:2107,0.292,0.15,0.15,0.1,0.14
20130322:2207,0.183,0.15,0.15,0.1,0.14
20130322:2307,0.125,0.15,0.15,0.1,0.14
20130323:0007,0.066,0.15,0.15,0.1,0.14
20130323:0107,0.058,0.15,0.15,0.1,0.14
20130323:0207,0.058,0.15,0.15,0.1,0.14
20130323:0307,0.058,0.15,0.15,0.1,0.29
20130323:0407,0.199,0.15,0.15,0.85,0.43
20130323:0507,0.305,0.15,0.15,0.85,0.57
20130323:0607,0.335,0.46,0.46,0.5,0.71
20130323:0707,0.305,0.92,0.92,0.1,0.86
20130323:0807,0.256,0.92,0.92,0.1,1
20130323:0907,0.262,1,1,0.1,1
20130323:1007,0.302,1,1,0.1,1
20130323:1107,0.325,1,1,1,0.86
20130323:1207,0.421,1,1,1,0.71
20130323:1307,0.316,1,1,1,0.71
20130323:1407,0.255,1,1,0.5,0.86
20130323:1507,0.242,1,1,1,0.86
20130323:1607,0.249,0.85,0.85,1,1
20130323:1707,0.401,0.31,0.31,0.5,1
20130323:1807,0.75,0.15,0.15,1,0.71
20130323:1907,0.611,0.15,0.15,1,0.57
20130323:2007,0.412,0.15,0.15,0.1,0.29
20130323:2107,0.292,0.15,0.15,0.1,0.14
20130323:2207,0.183,0.15,0.15,0.1,0.14
20130323:2307,0.125,0.15,0.15,0.1,0.14
20130324:0007,0.066,0.15,0.15,0.1,0.14
20130324:0107,0.058,0.15,0.15,0.1,0.14
20130324:0207,0.058,0.15,0.15,0.1,0.14
20130324:0307,0.058,0.15,0.15,0.1,0.29
20130324:0407,0.199,0.15,0.15,0.85,0.43
20130324:0507,0.305,0.15,0.15,0.85,0.57
20130324:0607,0.335,0.46,0.46,0.5,0.71
20130324:0707,0.305,0.92,0.92,0.1,0.86
20130324:0807,0.256,0.92,0.92,0.1,1
20130324:0907,0.262,1,1,0.1,1
20130324:1007,0.302,1,1,0.1,1
20130324:1107,0.325,1,1,1,0.86
20130324:1207,0.421,1,1,1,0.71
20130324:1307,0.316,1,1,1,0.71
20130324:1407,0.255,1,1,0.5,0.86
20130324:1507,0.242,1,1,1,0.86
20130324:1607,0.249,0.85,0.85,1,1
20130324:1707,0.401,0.31,0.31,0.5,1
20130324:1807,0.75,0.15,0.15,1,0.71
20130324:1907,0.611,0.15,0.15,1,0.57
20130324:2007,0.412,0.15,0.15,0.1,0.29
20130324:2107,0.292,0.15,0.15,0.1,0.14
20130324:2207,0.183,0.15,0.15,0.1,0.14
20130324:2307,0.125,0.15,0.15,0.1,0.14
20130325:0007,0.066,0.15,0.15,0.1,0.14
20130325:0107,0.058,0.15,0.15,0.1,0.14
20130325:0207,0.058,0.15,0.15,0.1,0.14
20130325:0307,0.058,0.15,0.15,0.1,0.29
20130325:0407,0.199,0.15,0.15,0.85,0.43
20130325:0507,0.305,0.15,0.15,0.85,0.57
20130325:0607,0.335,0.46,0.46,0.5,0.71
20130325:0707,0.305,0.92,0.92,0.1,0.86
20130325:0807,0.256,0.92,0.92,0.1,1
20130325:0907,0.262,1,1,0.1,1
20130325:1007,0.302,1,1,0.1,1
20130325:1107,0.325,1,1,1,0.86
20130325:1207,0.421,1,1,1,0.71
20130325:1307,0.316,1,1,1,0.71
20130325:1407,0.255,1,1,0.5,0.86
20130325:1507,0.242,1,1,1,0.86
20130325:1607,0.249,0.85,0.85,1,1
20130325:1707,0.401,0.31,0.31,0.5,1
20130325:1807,0.75,0.15,0.15,1,0.71
20130325:1907,0.611,0.15,0.15,1,0.57
20130325:2007,0.412,0.15,0.15,0.1,0.29
20130325:2107,0.292,0.15,0.15,0.1,0.14
20130325:2207,0.183,0.15,0.15,0.1,0.14
20130325:2307,0.125,0.15,0.15,0.1,0.14
20130326:0007,0.066,0.15,0.15,0.1,0.14
20130326:0107,0.058,0.15,0.15,0.1,0.14
20130326:0207,0.058,0.15,0.15,0.1,0.14
20130326:0307,0.058,0.15,0.15,0.1,0.29
20130326:0407,0.199,0.15,0.15,0.85,0.43
20130326:0507,0.305,0.15,0.15,0.85,0.57
20130326:0607,0.335,0.46,0.46,0.5,0.71
20130326:0707,0.305,0.92,0.92,0.1,0.86
20130326:0807,0.256,0.92,0.92,0.1,1
20130326:0907,0.262,1,1,0.1,1
20130326:1007,0.302,1,1,0.1,1
20130326:1107,0.325,1,1,1,0.86
20130326:1207,0.421,1,1,1,0.71
20130326:1307,0.316,1,1,1,0.71
20130326:1407,0.255,1,1,0.5,0.86
20130326:1507,0.242,1,1,1,0.86
20130326:1607,0.249,0.85,0.85,1,1
20130326:1707,0.401,0.31,0.31,0.5,1
20130326:1807,0.75,0.15,0.15,1,0.71
20130326:1907,0.611,0.15,0.15,1,0.57
20130326:2007,0.412,0.15,0.15,0.1,0.29
20130326:2107,0.292,0.15,0.15,0.1,0.14
20130326:2207,0.183,0.15,0.15,0.1,0.14
20130326:2307,0.125,0.15,0.15,0.1,0.14
20130327:0007,0.066,0.15,0.15,0.1,0.14
20130327:0107,0.058,0.15,0.15,0.1,0.14
20130327:0207,0.058,0.15,0.15,0.1,0.14
20130327:0307,0.058,0.15,0.15,0.1,0.29
20130327:0407,0.199,0.15,0.15,0.85,0.43
20130327:0507,0.305,0.15,0.15,0.85,0.57
20130327:0607,0.335,0.46,0.46,0.5,0.71
20130327:0707,0.305,0.92,0.92,0.1,0.86
20130327:0807,0.256,0.92,0.92,0.1,1
20130327:0907,0.262,1,1,0.1,1
20130327:1007,0.302,1,1,0.1,1
20130327:1107,0.325,1,1,1,0.86
20130327:1207,0.421,1,1,1,0.71
20130327:1307,0.316,1,1,1,0.71
20130327:1407,0.255,1,1,0.5,0.86
20130327:1507,0.242,1,1,1,0.86
20130327:1607,0.249,0.85,0.85,1,1
20130327:1707,0.401,0.31,0.31,0.5,1
20130327:1807,0.75,0.15,0.15,1,0.71
20130327:1907,0.611,0.15,0.15,1,0.57
20130327:2007,0.412,0.15,0.15,0.1,0.29
20130327:2107,0.292,0.15,0.15,0.1,0.14
20130327:2207,0.183,0.15,0.15,0.1,0.14
20130327:2307,0.125,0.15,0.15,0.1,0.14
20130328:0007,0.066,0.15,0.15,0.1,0.14
20130328:0107,0.058,0.15,0.15,0.1,0.14
20130328:0207,0.058,0.15,0.15,0.1,0.14
20130328:0307,0.058,0.15,0.15,0.1,0.29
20130328:0407,0.199,0.15,0.15,0.85,0.43
20130328:0507,0.305,0.15,0.15,0.85,0.57
20130328:0607,0.335,0.46,0.46,0.5,0.71
20130328:0707,0.305,0.92,0.92,0.1,0.86
20130328:0807,0.256,0.92,0.92,0.1,1
20130328:0907,0.262,1,1,0.1,1
20130328:1007,0.302,1,1,0.1,1
20130328:1107,0.325,1,1,1,0.86
20130328:1207,0.421,1,1,1,0.71
20130328:1307,0.316,1,1,1,0.71
20130328:1407,0.255,1,1,0.5,0.86
